,v(A),r(AXII)(Å),r(AVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),tG,τ,μ,Lowest distortion
76,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.39682539682539697,0.3886270243137151,0.28199842458847524,0.40156365158163165,0.5317443672149647,0.25000000175000014,orthorhombic
77,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.9761904761904765,0.3886270243137151,0.8310479729168625,0.2476390068931389,0.5963951673174229,0.5000000000000002,orthorhombic
78,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.8730158730158732,0.3886270243137151,0.39973597906839675,0.5012336702888804,0.5312150802822998,0.10000000139999998,orthorhombic
79,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.023809523809523725,0.3886270243137151,0.8013315690308991,0.14803266067767673,0.69718499434774,0.6749999998250003,cubic
80,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.6349206349206349,0.3886270243137151,0.32631404332457237,0.4842128442542428,0.529372823113868,0.12500000087500007,orthorhombic
81,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.9365079365079365,0.3886270243137151,0.3444271143130173,0.5357859415194444,0.5372503830373342,0.050000002450000025,orthorhombic
82,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.8730158730158732,0.3886270243137151,0.3677577916857291,0.5012336702888804,0.5312150802822998,0.10000000139999998,orthorhombic
83,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.6825396825396826,0.3886270243137151,0.41290584167112154,0.3855083526907612,0.5345373394925972,0.275000001225,orthorhombic
84,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.31746031746031744,0.3886270243137151,0.28435861088835823,0.40156365158163165,0.5317443672149647,0.25000000175000014,orthorhombic
85,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.0793650793650793,0.3886270243137151,0.6884288181575071,0.27728375549240036,0.5766408675160847,0.45000000105000004,cubic
86,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.15873015873015883,0.3886270243137151,0.6737850770789846,0.028723956109129922,0.9218476881280824,0.8999999986000002,cubic
87,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.3492063492063493,0.3886270243137151,0.2453694462622944,0.5184238561456596,0.5338382971616806,0.07500000192500011,orthorhombic
88,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.2222222222222221,0.3886270243137151,0.4068646050763527,0.09384879311700711,0.7812375124191742,0.7750000012250005,cubic
89,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.4206349206349207,0.3886270243137151,0.01674736976001112,0.5710362397777868,0.5464836862454175,0.0,orthorhombic
90,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,1.0,0.3886270243137151,0.0,0.4341418774345924,0.5284840379786948,0.19999999930000012,orthorhombic
91,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.18253968253968256,0.3886270243137151,0.4014494862560887,0.33825125250275656,0.547650459697334,0.34999999965000006,orthorhombic
92,0.5,0.41836734693877575,0.3142857142857143,0.5844155844155844,0.015873015873015928,0.31406258422542743,0.7041940945794423,0.08703747919210869,0.789511949224329,0.7249999987750004,cubic
93,0.5,0.41836734693877575,0.3142857142857143,0.5844155844155844,0.5793650793650795,0.31406258422542743,0.3418656498580752,0.5149212530863099,0.5484317301930809,0.024999999474999868,orthorhombic
94,0.5,0.41836734693877575,0.3142857142857143,0.5844155844155844,0.15873015873015883,0.31406258422542743,0.3794158143487092,0.3176369959951675,0.561662528686012,0.32500000017499997,rhombohedral
95,0.5,0.41836734693877575,0.3142857142857143,0.5844155844155844,0.8730158730158732,0.31406258422542743,0.35473798834272596,0.44656824776288984,0.5397579858592709,0.12500000087500007,orthorhombic
96,0.5,0.41836734693877575,0.3142857142857143,0.5844155844155844,0.8412698412698416,0.31406258422542743,0.058835153017328334,0.4133920372453419,0.540314367639707,0.17499999982500003,rhombohedral
97,0.5,0.41836734693877575,0.3142857142857143,0.5844155844155844,0.39682539682539697,0.31406258422542743,0.28199842458847524,0.36482397538811595,0.5472524903742179,0.25000000175000014,orthorhombic
98,0.5,0.41836734693877575,0.3142857142857143,0.5844155844155844,0.9761904761904765,0.31406258422542743,0.8310479729168625,0.21258463618689127,0.6266573328195688,0.5000000000000002,orthorhombic
99,0.5,0.41836734693877575,0.3142857142857143,0.5844155844155844,0.8730158730158732,0.31406258422542743,0.39973597906839675,0.4634027142306194,0.540697214136995,0.10000000139999998,orthorhombic
100,0.5,0.41836734693877575,0.3142857142857143,0.5844155844155844,0.023809523809523725,0.31406258422542743,0.8013315690308991,0.11406886736738242,0.7439899898225866,0.6749999998250003,cubic
101,0.5,0.41836734693877575,0.3142857142857143,0.5844155844155844,0.6349206349206349,0.31406258422542743,0.32631404332457237,0.44656824776288984,0.5397579858592709,0.12500000087500007,rhombohedral
102,0.5,0.41836734693877575,0.3142857142857143,0.5844155844155844,0.9365079365079365,0.31406258422542743,0.3444271143130173,0.4975766789986684,0.5450273181668356,0.050000002450000025,orthorhombic
103,0.5,0.41836734693877575,0.3142857142857143,0.5844155844155844,0.8730158730158732,0.31406258422542743,0.3677577916857291,0.4634027142306194,0.540697214136995,0.10000000139999998,orthorhombic
104,0.5,0.41836734693877575,0.3142857142857143,0.5844155844155844,0.753968253968254,0.31406258422542743,0.44462801131860674,0.36482397538811595,0.5472524903742179,0.25000000175000014,orthorhombic
105,0.5,0.41836734693877575,0.3142857142857143,0.5844155844155844,0.6825396825396826,0.31406258422542743,0.41290584167112154,0.348944463008233,0.5512128393642887,0.275000001225,orthorhombic
